"Hypothesis management in support of inferential reasoning";"4452001350012258287";"2010"
"An integrated GPS/PDA/GIS telegeoprocessing system for traffic & environment";"1733975421222174866";"2009"
" CHARACTERISTIC OF LINUX PACKAGE DEPENDENCIES AS COMPLEX NETWORK–AN EMPIRICAL STUDY";"5807476039513639218";""
" Numerical representation of interface control documents (ICDs) for collaborative engineering";"67286409161807521";"2011"
"A typology for the systems field";"4587556197098351271";"2016"
"Complex networks approach to modeling online social systems. The emergence of computational social science";"17061293447199984724";"2014"
"Отображение виртуальных XML-документов на таблицы MySQL в ситуационно-ориентированных базах данных:«распределенный» подход";"16498136941790915950";"2017"
"Polypharmacology in drug discovery: a review from systems pharmacology perspective";"7967632609939343124";"2016"
"Requirement modeling systems for mechanical design: a systematic method for evaluating requirement management tools and languages";"8778250463640026579";"2010"
" An Overview of the SysML-Modelica Transformation Specification";"12157262083137465840";"2010"
"Misinformed leaders lose influence over pigeon flocks";"12907973962105123619";"2016"
"Pelagic seabird flight patterns are consistent with a reliance on olfactory maps for oceanic navigation";"8910489976471448884";"2015"
"Multi-View Consistency in Architectures for Cyber-Physical Systems";"10661693937609315817";"2011"
"Clustering structure and logistics: A new framework for supply network analysis";"15621660845853371163";"2013"
"A Literature Review to Understand the Requirements Specification's Role when Developing Integrated Product Service Offerings";"11606334955904976660";"2016"
" Thomas Kuhn's Revolutions: A Historical and an Evolutionary Philosophy of Science?";"18280637936522619239";"2015"
"A conflict detection approach for collaborative management of product interfaces";"15121025101824903620";"2010"
" Multi-Criteria Decision Making in Software Development: A Systematic Literature Review";"14431760031366073818";"1915"
" A Method to Analyze, Diagnose and Propose Innovations for Complex Ecosystems: the InnoServ Project1";"14365114206242498200";""
"Mutation Testing in Model Accuracy Assessment";"15423227721752205625";"2017"
"Control software development in Industrial Automation";"13746165475684253769";"2013"
"A use case methodology to handle conflicting controller requirements for future power systems";"17542297612498071393";"2015"
"Neuropharmacology beyond reductionism–a likely prospect";"5068875735798701641";"2016"
" Modellbasierte Konzipierung eines hybriden Energie-speichersystems für ein autonomes Schienenfahrzeug";"14425521763349631519";"2012"
"Collaborative systems engineering and social-networking approach to design and modelling of smarter products";"10216857009022496412";"2011"
"Enabling emergent behavior in systems-of-systems through bigraph-based modeling";"9606617771801622325";"2015"
"Optimized synthesis of cost‐effective, controllable oil system architectures for turbofan engines";"9067174442796740989";"2018"
"Social Support Networks and the Mental Health of Runaway and Homeless Youth";"11752048914377279590";"2017"
"Towards model-based system engineering for simulation-based design in product data management systems";"4093941537231470812";"2012"
"Structure and dynamics of core/periphery networks";"12888469904335809043";"2013"
" Service provision in the framework of Industry 4.0";"18038968739969660817";"2016"
" Transportation Analytics and Last-mile Same-day Delivery with Local Store Fulfillment";"15352735671369998494";"2018"
"Object Based Systems Engineering";"9936444512873870139";"2011"
"Complex networks under dynamic repair model";"14311010300217743064";"2018"
" Influence of Parametric Modelling of Wing Subsystems on the Aircraft Design and Performance";"14636807273046069623";"2017"
"An integrated computer program for blade design of small to medium wind turbine generators";"4508100679595251074";"2014"
" Neuroscience for Teachers: Applying research evidence from brain science";"17300328988249787963";"2017"
"Hormones and Human and Nonhuman Primate Growth";"10048878052458093436";"2017"
"On the emergence of islands in complex networks";"7950333532759923424";"2017"
"A Triad-Based Contextualisation Approach for Understanding of a Critical Issue in a Government Investment Agency";"11908633603154192368";"2016"
"Verification and validation of a Work Domain Analysis with turing machine task analysis";"16776706877130917832";"2015"
" State machines in modelica";"15774604040484889106";"2012"
"CONCEPTUAL COST MODELING OF INNOVATIVE INDUSTRIAL ESTATES USING SYSML AND CASE-BASED REASONING";"8998227297836841191";"2016"
"Geographic space as a living structure for predicting human activities using big data";"919829723585037202";"2018"
" Proposition d'une approche d'amélioration des performances des organisations par filemanagement opérationnel de leurs connaissances et compétences";"4616956765451030916";""
"Insight into dissolved organic matter fractions in Lake Wivenhoe during and after a major flood";"16600396078654439907";"2016"
" Structure‐based network analysis of an evolved G protein‐coupled receptor homodimer interface";"11628686800247951273";"2013"
"Towards better help desk planning: Predicting incidents and required effort";"17907059817580666234";"2016"
" Incremental pattern-based modeling and safety/security analysis for correct by construction systems design";"14312664040235838707";""
"Knowledge gaps in the early growth of semantic networks";"4468478892060348008";"2017"
" Can editors protect peer review from bad reviewers?";"8218218656933991680";"2017"
"SysML safety profile for mechatronics";"11184583097455331607";"2014"
"Design for X (DfX) in the Internet of Things (IoT)";"14377097480594866389";"2017"
"Evaluating path loss by extended Squitter signals for aeronautical surveillance";"10025327208069676143";"2017"
"DoD LSI Transformation: Creating a Model-Based Acquisition Framework\201MBAF\202";"15758301288471070313";"2014"
"Engineering system co-design with limited plant redesign";"15744118899793216358";"2014"
"Efficient modeling of mechatronic systems regarding variety and complexity in the field of automotive";"1400719089779899067";"2013"
" Perturbation centrality and turbine: a novel centrality measure obtained using a versatile network dynamics tool";"9151364724418200246";"2013"
"Applications of Laplacian spectra for extended Koch networks";"17280331524724015155";"2012"
"Network measures for chemical library design";"8216366414236548041";"2014"
"Dynamical Systems on Networks";"8239633879140602077";"2014"
"Returning to the frontier of contingency theory of organizational and institutional designs";"16142811068933184821";"2013"
"Untangling the Digital Thread: The Challenge and Promise of Model‐Based Engineering in Defense Acquisition";"5246956986540915502";"2015"
"An Index to the Body of Knowledge of Simulation Systems Engineering";"10533392165520067533";"2017"
"Toward project complexity evaluation: A structural perspective";"2381806651027364431";"2016"
" Network analysis of the Viking Age in Ireland as portrayed in Cogadh Gaedhel re Gallaibh";"17433725671590568238";"2018"
"Implementing SysPEM in the context of a citizen data management system engineering";"3768936040006360044";"2014"
" Structural and dynamical analysis of complex networks";"17196170157254595505";"2016"
"Methodik für die simulationsbasierte Entwicklung mechatronischer Systeme";"10923670292241179053";"2014"
"Teaching and learning requirements engineering based on mobile devices and cloud: A case study";"7483497651357220051";"2016"
"Using formal methods with SysML in aerospace design and engineering";"8882518494626750916";"2011"
"Origin of the hub spectral dimension in scale-free networks";"3675732448698271770";"2013"
"Model-driven generative development of measurement software";"7112183801416359469";"2011"
" Die statistiese eienskappe van geskrewe Afrikaans as'n komplekse netwerk";"14209768839337319063";"2017"
"Die hedendaagse Afrikaanse poësiesisteem: op soek na die mees verteenwoordigende wiskundige model van die rolspelerverhoudings daarbinne";"5484334758711197823";"2017"
"Modelling of interconnected critical infrastructure systems using complex network theory";"4564837421100961228";"2017"
"Role of social environment and social clustering in spread of opinions in coevolving networks";"6137226169276858934";"2013"
"Применение модельно-ориентированного подхода в управлении жизненным циклом технических изделий";"13892154783523457402";"2015"
"Model-based systems engineering: motivation, current status, and needed advances";"6074472688665294066";"2018"
"System lifecycle management: Initial approach for a sustainable product development process based on methods of model based systems engineering";"9916187353262012694";"2014"
"Vers l'intégration d'une approche de génération automatique de mod ele de simulation dans un flot de conception de contrôle-commande";"15352245949652743887";"2015"
"RFLP Approach in the Designing of Power-Trains for Road Electric Vehicles";"13042610110664236062";"2015"
"An operations concept for integrated model-centric engineering at JPL";"16066004429543949845";"2010"
"Supporting multidisciplinary analysis using system architectures in SysML";"15192980311924296449";"2012"
" 車載システム開発におけるディペンダビリティ保証手法に関する研究";"7519614994846403858";""
" Operadic analysis of distributed systems";"6116537645066885510";"2015"
"Upper₋ Arm Rehabilitation Robotics System Modeling Using SysML";"1596750336185960222";"2015"
"Overview of architecture frameworks and modeling languages for model-based systems engineering";"3706031109170977124";"2011"
"A component-based software architecture for control and simulation of robotic manipulators";"15207190198598734387";"2013"
"A model-driven and tool-integration framework for whole vehicle co-simulation environments";"4026877502765059835";"2016"
"Brain and Social Networks: Fundamental  Building Blocks of Human Experience";"1433177734379717991";"2017"
" Determining associations between human diseases and non-coding RNAs with critical roles in network control";"4959374122180028838";"2015"
" Mining the modular structure of protein interaction networks";"18285359976522423150";"2015"
" Systematic modeling process of system behavior";"13098418899187561602";"2011"
"Analyzing the impact of business interoperability on the performance of cooperative supply chain networks";"7404181026277695818";"2015"
" Allosteric Modulators";"1837566715545990499";"2017"
"Approaches to Modeling the Impact of Cyber Attacks on a Mission";"12898564306261898709";"2017"
